"Group","Practice","Guidance","Reference","Done","Notes"
"Monitoring data security with managed AWS security services","To update encryption for an object by using the AWS CLI","To use the following example command, replace the user input placeholders with your own information. 1. Use the following command to update encryption for a single object (index.html) in your general purpose bucket (for example, amzn-s3-demo-bucket) to use SSE-KMS with an S3 Bucket Key: aws s3api update-object-encryption \ -bucket amzn-s3-demo-bucket \ -key index.html \ -object-encryption '{""SSEKMS"": { ""KMSKeyArn"": ""arn:aws:kms:us- east-1:111122223333:key/f12a345a-678e-9bbb-1025-62e317037583"", ""BucketKeyEnabled"": true }}' Note You must specify the full AWS KMS key Amazon Resource Name (ARN). The KMS key ID and KMS key alias aren't supported. 2. Run the head-object command to view the updated encryption type of your object: aws s3api head-object --bucket amzn-s3-demo-bucket --key index.html","","",""
"Monitoring data security with managed AWS security services","Using the REST API","You can send REST requests to update encryption for an object.","UpdateObjectEncryption","",""
"Monitoring data security with managed AWS security services","Using the AWS SDKs","You can use the AWS SDKs to update encryption for an object.","the list of supported SDKs","",""
"Monitoring data security with managed AWS security services","Java","","","",""
"Monitoring data security with managed AWS security services","Example","The following AWS SDK for Java 2.x example updates the encryption type to SSE-KMS for an object in a general purpose bucket. public void updateObjectEncryption(String bucketName, String objectKey, String versionId, String kmsKeyArn, boolean bucketKeyEnabled) { // Create the target object encryption type.","","",""
"Monitoring data security with managed AWS security services","ObjectEncryption objectEncryption = ObjectEncryption.builder()",".ssekms(SSEKMSEncryption.builder() .kmsKeyArn(kmsKeyArn) .bucketKeyEnabled(bucketKeyEnabled) .build()) .build(); // Create the UpdateObjectEncryption request. UpdateObjectEncryptionRequest request =","","",""
"Monitoring data security with managed AWS security services","UpdateObjectEncryptionRequest.builder()",".bucket(bucketName) .key(objectKey) .versionId(versionId) .objectEncryption(objectEncryption) .build(); // Update the object encryption. try { getS3Client().updateObjectEncryption(request); logger.info(""Object encryption updated to SSE-KMS for {} in bucket {}"", objectKey, bucketName); } catch (S3Exception e) { logger.error(""Failed to update to object encryption: {} - Error code: {}"", e.awsErrorDetails().errorMessage(), e.awsErrorDetails().errorCode()); throw e; } }","","",""
"Monitoring data security with managed AWS security services","Python","","","",""
"Monitoring data security with managed AWS security services","Example","The following AWS SDK for Python (Boto3) example shows how to update the encryption type to SSE-KMS for an object in a general purpose bucket. response = client.update_object_encryption( Bucket='string', Key='string', VersionId='string', ObjectEncryption={ 'SSEKMS': { 'KMSKeyArn': 'string', 'BucketKeyEnabled': True|False } } )","","",""
"Monitoring data security with managed AWS security services","Using server-side encryption with Amazon S3 managed keys (SSE-S3)","","","",""
"Monitoring data security with managed AWS security services","Important","Amazon S3 now applies server-side encryption with Amazon S3 managed keys (SSE-S3) as the base level of encryption for every bucket in Amazon S3. Starting January 5, 2023, all new object uploads to Amazon S3 are automatically encrypted at no additional cost and with no impact on performance. The automatic encryption status for S3 bucket default encryption configuration and for new object uploads is available in CloudTrail logs, S3 Inventory, S3 Storage Lens, the Amazon S3 console, and as an additional Amazon S3 API response header in the AWS CLI and AWS SDKs. All new object uploads to Amazon S3 buckets are encrypted by default with server-side encryption with Amazon S3 managed keys (SSE-S3). Server-side encryption protects data at rest. Amazon S3 encrypts each object with a unique key. As an additional safeguard, it encrypts the key itself with a key that it rotates regularly. Amazon S3 server-side encryption uses 256-bit Advanced Encryption Standard Galois/Counter Mode (AES- GCM) to encrypt all uploaded objects. There are no additional fees for using server-side encryption with Amazon S3 managed keys (SSE- S3). However, requests to configure the default encryption feature incur standard Amazon S3 request charges. For information about pricing, see Amazon S3 pricing. If you require your data uploads to be encrypted using only Amazon S3 managed keys, you can use the following bucket policy. For example, the following bucket policy denies permissions to upload an object unless the request includes the x-amz-server-side-encryption header to request server-side encryption:","Default encryption FAQ","",""
"Monitoring data security with managed AWS security services","JSON","""Version"":""2012-10-17"", ""Id"": ""PutObjectPolicy"", ""Statement"": [ { ""Sid"": ""DenyObjectsThatAreNotSSES3"",","","",""
"Monitoring data security with managed AWS security services","Server-side encryption","""Effect"": ""Deny"", ""Principal"": ""*"", ""Action"": ""s3:PutObject"", ""Resource"": ""arn:aws:s3:::amzn-s3-demo-bucket/*"", ""Condition"": { ""StringNotEquals"": { ""s3:x-amz-server-side-encryption"": ""AES256"" } } } ] } Note Server-side encryption encrypts only the object data, not the object metadata.","","",""
"Monitoring data security with managed AWS security services","Note","The s3:x-amz-server-side-encryption condition key used in bucket policies is an IAM condition key namespace and differs from the x-amz-server-side-encryption HTTP header shown in CloudTrail logs. Both refer to the same encryption setting, but use different formats. Additionally, this Deny policy might block writes from (such as Elastic Load Balancing access logs or Amazon CloudFront logs) that deliver objects to your bucket without specifying the encryption header.","","",""
"Monitoring data security with managed AWS security services","API support for server-side encryption","All Amazon S3 buckets have encryption configured by default, and all new objects that are uploaded to an S3 bucket are automatically encrypted at rest. Server-side encryption with Amazon S3 managed keys (SSE-S3) is the default encryption configuration for every bucket in Amazon S3. To use a different type of encryption, you can either specify the type of server-side encryption to use in your S3 PUT requests, or you can update the default encryption configuration in the destination bucket. If you want to specify a different encryption type in your PUT requests, you can use server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS), dual-layer server-side encryption with AWS KMS keys (DSSE-KMS), or server-side encryption with customer-provided keys (SSE-C). If you want to set a different default encryption configuration in the destination bucket, you can use SSE-KMS or DSSE-KMS. When you change the default encryption configuration of your bucket to SSE-KMS, the encryption type of the existing Amazon S3 objects in the bucket is not changed. To change the encryption type of your pre-existing objects after updating the default encryption configuration to SSE-KMS, you can use Amazon S3 Batch Operations. You provide S3 Batch Operations with a list of objects, and Batch Operations calls the respective API operation. You can use the Copy objects action to copy existing objects, which writes them back to the same bucket as SSE-KMS encrypted objects. A single Batch Operations job can perform the specified operation on billions of objects. For more information, see Performing object operations in bulk with Batch Operations and the AWS Storage Blog post How to retroactively encrypt existing objects in Amazon S3 using S3 Inventory, Amazon Athena, and S3 Batch Operations. To configure server-side encryption by using the object creation REST APIs, you must provide the x-amz-server-side-encryption request header. For information about the REST APIs, see Using the REST API. The following Amazon S3 APIs support this header: PUT operations - Specify the request header when uploading data using the PUT API. For more information, see PUT Object. Initiate Multipart Upload - Specify the header in the initiate request when uploading large objects using the multipart upload API operation. For more information, see Initiate Multipart Upload. COPY operations - When you copy an object, you have both a source object and a target object. For more information, see PUT Object - Copy.","Configuring default encryption","",""
