"Group","Item","Page","Guidance","Done","Notes"
"Security Management Using Prism Element > Data-at-Rest Encryption","Data-at-Rest Encryption (Software Only)","129","For customers who require enhanced data security, Nutanix provides a software-only encryption option for data-at-rest security (SEDs not required). Starting with AOS version 7.3, software-based data-at-rest encryption and native key management service (KMS) capabilities are included with the Pro and Ultimate editions of the Nutanix Cloud Infrastructure (NCI) license. For earlier AOS versions, these features require either an Ultimate license or a Pro add-on license. Software encryption supports the following features: For AHV, data can be encrypted at the cluster level. This applies to both empty clusters and clusters with existing ¶ data. In addition to cluster-level encryption, you can configure storage policies in Prism Central to encrypt data at the container or VM level. For more information, see Storage Policy-Based Encryption. For ESXi and Hyper-V, the data can be encrypted on a cluster or container level. The cluster or container can be empty or contain existing data. Consider the following points for container level encryption. Once you enable container level encryption, you can not change the encryption type to cluster level encryption ¶ later. After the encryption is enabled, the administrator needs to enable encryption for every new container. Data is encrypted at all times. Data is inaccessible in the event of drive or node theft. Data on a drive can be securely destroyed. ¶ Re-key of the master encryption key at arbitrary times is supported. Cluster's native KMS is supported. ¶ Note: In case of mixed hypervisors, only the following combinations are supported. ESXi and AHV Hyper-V and AHV This solution provides enhanced security for data on a drive, but it does not secure data in transit. Data Encryption Model To accomplish the above mentioned goals, Nutanix implements a data security configuration that uses AOS functionality along with the cluster's native or an external key management server. Nutanix uses open standards (KMIP protocols) for interoperability and strong security. ¶ This configuration involves the following workflow: For software encryption, data protection must be enabled for the cluster before any data is encrypted. Also, the ¶ Controller VM must provide the proper key to access the data. A symmetric data encryption key (DEK) such as AES 256 is applied to all data being written to or read from the ¶ disk. The key is known only to AOS, so there is no way to access the data directly from the drive. In case of an external KMS: ¶ Each node maintains a set of certificates and keys in order to establish a secure connection with the key management server. Only one key management server device is required, but it is recommended that multiple devices are employed so the key management server is not a potential single point of failure. Configure the key manager server devices to work in clustered mode so they can be added to the cluster configuration as a single entity that is resilient to a single failure. Configuring Data-at-Rest Encryption (Software Only) Nutanix offers a software-only option to perform data-at-rest encryption in a cluster or container. ¶ Before you begin You must review Key Management Server (KMS) Considerations on page 136. Starting with AOS version 7.3, software-based data-at-rest encryption and native key management service (KMS) ¶ capabilities are included with the Pro and Ultimate editions of the Nutanix Cloud Infrastructure (NCI) license. For earlier AOS versions, these features require either an Ultimate license or a Pro add-on license. ¶ Caution: For security, you cannot disable software-only data-at-rest encryption once it is enabled. About this task To configure cluster or container encryption, follow these steps: Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the main menu and then select Data at Rest Encryption in the Settings menu. ¶ The Data at Rest Encryption dialog box appears. Initially, encryption is not configured, and a message to that effect appears. ¶ 3. Click the Create Configuration button. Clicking the Continue Configuration button, configure it link, or Edit Config button does the same thing, which is display to the Data-at-Rest Encryption configuration page ¶ 4. Select the Encryption Type as Encrypt the entire cluster or Encrypt storage containers. Then click Save Encryption Type. Caution: You can enable encryption for the entire cluster or just the container. However, if you enable encryption on a container; and you experience any encryption key issues like loss of encryption key, you can encounter the following: The entire cluster data is affected, not just the encrypted container. All the user VMs of the cluster cannot access the data. The hardware option is displayed only when SEDs are detected. Else, software based encryption type will be used by default. For ESXi and Hyper-V, the data can be encrypted on a cluster or container level. The cluster or container can be empty or contain existing data. Consider the following points for container level encryption. Once you enable container level encryption, you cannot change the encryption type to cluster level encryption later. After the encryption is enabled, the administrator needs to enable encryption for every new container. To enable encryption for every new storage container, follow these steps: a. In the web console, select Storage from the pull-down main menu (upper left of screen) and then select the Table and Storage Container tabs. b. To enable encryption, select the target storage container and then click the Update link. The Update Storage Container window appears. c. In the Advanced Settings area, select the Enable check box to enable encryption for the storage container you selected. ¶ d. Click Save to complete. ¶ 5. Select the Key Management Service. ¶ » Select Native KMS (local) or Native KMS (remote) and click Save KMS type. If you select Native KMS, skip to step 10 to enable encryption. ¶ » Select the External KMS option and click Save KMS type. Continue to step 6 to configure certificates and key management servers. ¶ Native KMS (local) requires a minimum of 3-node cluster. 1-node and 2-node clusters are not supported. Native KMS (remote) is for ROBO environments (typically, 1 or 2 node clusters) and provides enhanced ¶ security for software based encryption of ROBO clusters managed by Prism Central. This option is available only if the cluster is registered to Prism Central. ¶ Note: You can switch between the KMS types at a later stage if the specific KMS prerequisites are met, see Switching between Native Key Manager and External Key Manager on page 137. ¶ 6. (External KMS only) In the Certificate Signing Request Information section, follow these steps: a. Enter appropriate credentials for your organization in the Email, Organization, Organizational Unit, Country Code, City, and State fields and then click the Save CSR Info button. The entered information is saved and is used when creating a certificate signing request (CSR). To specify more than one Organization Unit name, enter a comma separated list. ¶ Note: You can update this information until an SSL certificate for a node is uploaded to the cluster, at which point the information cannot be changed (the fields become read only) without first deleting the uploaded certificates. b. Click the Download CSRs button, and then in the new screen click the Download CSRs for all nodes to download a file with CSRs for all the nodes or click a Download link to download a file with the CSR for that node. c. Send the files with the CSRs to the desired certificate authority. The certificate authority creates the signed certificates and returns them to you. Store the returned SSL certificates and the CA certificate where you can retrieve them in step 8. The certificates must be X.509 format. (DER, PKCS, and PFX formats are not supported.) The certificate and the private key must be in separate files. ¶ 7. (External KMS only) In the Key Management Server section, follow these steps: a. Click the Add New Key Management Server button. b. In the Add a New Key Management Server screen, enter a name, IP address, and port number for the key management server in the appropriate fields. The port is where the key management server is configured to listen for the KMIP protocol. The default port number is 5696. For the complete list of required ports, see Port Reference. » If you have configured multiple key management servers in cluster mode, click the Add Address button to provide the addresses for each key management server device in the cluster. » If you have stand-alone key management servers, click the Save button. Repeat this step (Add New Key Management Server button) for each key management server device to add. If your key management servers are configured into a master/slave (active/passive) relationship and the architecture is such that the follower cannot accept write requests, do not add the follower into this configuration. The system sends requests (read or write) to any configured key management server, so both read and write access is needed for key management servers added here. To prevent potential configuration problems, always use the Add Address button for key management servers configured into cluster mode. Only a stand-alone key management server must be added as a new server. c. To edit any settings, click the pencil icon for that entry in the key management server list to redisplay the add page and then click the Save button after making the change. To delete an entry, click the X icon. ¶ 8. (External KMS only) In the Add a New Certificate Authority section, enter a name for the CA, click the Upload CA Certificate button, and select the certificate for the CA used to sign your node certificates (see step 6c). Repeat this step for all CAs that were used in the signing process. ¶ 9. (External KMS only) Go to the Key Management Server section (see step 7) and follow these steps: a. Click the Manage Certificates button for a key management server. b. In the Manage Signed Certificates screen, upload the node certificates either by clicking the Upload Files button to upload all the certificates in one step or by clicking the Upload link (not shown in the figure) for each node individually. c. Test that the certificates are correct either by clicking the Test all nodes button to test the certificates for all nodes in one step or by clicking the Test CS (or Re-Test CS) link for each node individually. A status of Verified indicates the test was successful for that node. d. Repeat this step for each key management server. Note: Before removing a drive or node from an SED cluster, ensure that the testing is successful and the status is Verified. Otherwise, the drive or node will be locked. ¶ 10. Click the Enable Encryption button. ¶ Enable Encryption window is displayed. ¶ Caution: To help ensure that your data is secure, you cannot disable software-only data-at-rest encryption once it is enabled. Nutanix recommends regularly backing up your data, encryption keys, and key management server. ¶ 11. Enter ENCRYPT. ¶ 12. Click the Encrypt button. The data-at-rest encryption is enabled. To view the status of the encrypted cluster or container, go to Data at Rest Encryption in the Settings menu. When you enable encryption, a low priority background task runs to encrypt all the unencrypted data. This task is designed to take advantage of any available CPU space to encrypt the unencrypted data within a reasonable time. If the system is occupied with other workloads, the background task consumes less CPU space. Depending on the amount of data in the cluster, the background task can take 24 to 36 hours to complete. If changes are made to the configuration after protection has been enabled, such as adding a new key management server, you must do the rekey operation for the modification to take full effect. In case of EKM, rekey to change the KEKs stored in the EKM. In case of LKM, rekey to change the master key used by native key manager, see Changing Key Encryption Keys (Software Only) on page 143 for details. Once the task to encrypt a cluster begins, you cannot cancel the operation. Even if you stop and restart the cluster, the system resumes the operation. ¶ Key Management Server (KMS) Considerations Before configuring software data-at-rest encryption, ensure that you review the following KMS considerations and requirements: Nutanix provides the option to choose the KMS type as the Native KMS (local), Native KMS (remote), External ¶ KMS, and Cloud KMS. Cluster Localised Key Management Service (Native KMS (local)) requires a minimum of 3-node cluster. 1-node ¶ and 2-node clusters are not supported. ¶ Software encryption using Native KMS is supported for remote office/branch office (ROBO) deployments using the Native KMS (remote) KMS type. ¶ For external KMS, a separate key management server is required to store the keys outside of the cluster. Each key management server device must be configured and addressable through the network. It is recommended that multiple key manager server devices be configured to work in clustered mode so they can be added to the cluster configuration as a single entity that is resilient to a single failure. Caution: Do not host a key management server VM on the encrypted cluster that is using it. Doing so could result in complete data loss if there is a problem with the VM while it is hosted in that cluster. You must install the license of the external key manager for all nodes in the cluster. See Compatibility and Interoperability Matrix for a complete list of the supported key management servers. For instructions on how to configure a key management server, refer to the documentation from the appropriate vendor. ¶ Switching between Native Key Manager and External Key Manager After software encryption has been established, Nutanix supports the ability to switch the KMS type from the external key manager to the native key manager, from the native key manager to an external key manager, or from the remote KMS to the native KMS or an external KMS, without any down time. For external KMS, a separate key management server is required to store the keys outside of the cluster. Each key management server device must be configured and addressable through the network. It is recommended that multiple key manager server devices be configured to work in clustered mode so they can be added to the cluster configuration as a single entity that is resilient to a single failure. The Native KMS operates as an integrated solution and requires a minimum three-node cluster. Nutanix recommends that you backup and save the encryption keys with identifiable names before and after changing the KMS type. For more information, see Backing up Keys on page 145. To migrate from one external KMS to another, see Changing External KMS on page 138. To change the KMS type, change the KMS selection by editing the encryption configuration. For details, see step 5 on page 133 in Configuring Data-at-Rest Encryption (Software Only) on page 130 section. ¶ Note: This operation completes in a few minutes, depending on the number of encrypted objects and network speed. ¶ Changing External KMS Recommended workflow to migrate from one external key management server (KMS) to another external KMS. ¶ About this task To migrate from one external KMS to another external KMS for software data-at-rest encryption, follow these steps: ¶ Procedure ¶ 1. Take a backup of the encryption keys. For more information, see Backing up Keys on page 145. ¶ 2. Switch from the external KMS to either native KMS (local) or native KMS (remote), depending on your environment. For more information, see Switching between Native Key Manager and External Key Manager on page 137. ¶ 3. Remove the existing external KMS configuration and configure the new external KMS. Ensure that you upload the required certificates for the new external KMS. For more information on updating the software data-at-rest encryption settings, see Configuring Data-at-Rest Encryption (Software Only) on page 130. ¶ 4. Switch back from the native KMS (local or remote) used in Step 2 on page 138 to the new external KMS. ¶ Switching Between Local and Remote Native Key Management Servers Switch the KMS type between a local native KMS and a remote native KMS for software data-at-rest encryption. ¶ Before you begin Before switching the KMS, ensure that you meet the following prerequisites: ¶ To switch to a local native KMS, the cluster must have a minimum of three nodes. To switch to a remote native KMS, the cluster must be registered to Prism Central. To switch to a remote native KMS, the cluster must not be configured as a backup target for Prism Central Backup ¶ and Restore. For more information on KMS requirements, see Key Management Server (KMS) Considerations on page 136. Nutanix recommends that you back up and save the encryption keys before and after changing the KMS type. For more information, see Backing up Keys on page 145. ¶ About this task To switch between a local native KMS and a remote native KMS after you establish software encryption, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. In the main menu, click the Settings icon. ¶ 3. On the Settings page, select Data-at-rest Encryption. ¶ 4. Click Edit Configuration. ¶ 5. In the Select Key Management Server (KMS) section, select Native KMS (local) or Native KMS ¶ (remote). ¶ 6. Click Save KMS type. ¶ Cloud Key Management Server ¶ Cloud Key Management Server (Cloud KMS) enables secure management of encryption keys through the KMS service provided by a cloud platform. For Software data-at-rest encryption, Nutanix provides the option to choose the KMS type as the Native KMS (local), Native KMS (remote), External KMS, and Cloud KMS (PC-only). Use the Cloud KMS option to securely manage encryption keys using your cloud provider's KMS using Prism Central. Enabling Cloud KMS provides the ability to manage all KMS-related operations, including changing or updating the KMS configuration. Cloud KMS offers a simplified and secure method to manage data-at-rest encryption for on-premises Nutanix clusters, NC2 on Azure and NC2 on AWS, provided the NC2 cluster can communicate with the Azure Key Vault endpoint. ¶ Note: Cloud KMS support is available for Microsoft Azure Key Vault only. ¶ Cloud KMS Requirements and Considerations The following requirements and considerations apply to setting up and using Cloud KMS: ¶ Prism Central integrates with Microsoft Azure Key Vault. To set up Cloud KMS, you must provide specific Azure configurations, including the Key Vault URI, client ID, tenant ID, and a client secret, which authorizes Prism Central to use the RSA keys stored in Azure. For more information, see Setting Up an Azure Key Vault for Cloud Key Management Server on page 141. ¶ The Azure Key Vault URI must be accessible from the NC2 cluster. This often involves placing the Key Vault in the same Azure subscription or another subscription under the same Azure Active Directory (Entra ID) tenant, but this placement is not required as long as the NC2 cluster can reach the Key Vault URI. ¶ Cloud KMS is supported for RSA keys only. Cloud KMS supports RSA key sizes of 2048, 3072, and 4096 bits. Cloud KMS supports both Standard and Premium SKUs of Azure Key Vault. For details on FIPS compliance ¶ levels and differences between Azure Key Vault SKUs, refer to Microsoft's official documentation. Cloud KMS is supported on cluster running AOS version 7.0 or later. Cloud KMS is supported on Prism Central version pc.2024.3 or later. After enabling Cloud KMS, all KMS management, any future changes to the KMS type (such as switching back ¶ to local KMS) must be done using Prism Central. You cannot manage KMS configurations directly through Prism Element. ¶ Configuring Cloud Key Management Server ¶ Configure Azure Cloud Key Management Server (KMS) for software based data-at-rest encryption. ¶ Before you begin Before you configure Cloud KMS in Prism Central, ensure the following prerequisites are met: ¶ Understand the Cloud KMS requirements and considerations. For more information, see Cloud KMS Requirements and Considerations on page 139. ¶ Ensure that an Azure Key Vault is configured and accessible. For more information, see Setting Up an Azure Key Vault for Cloud Key Management Server on page 141. ¶ About this task To configure Cloud KMS for software data-at-rest-encryption, follow these steps: ¶ Procedure ¶ 1. SSH into the Prism Central VM (PCVM) as a nutanix user: $ ssh nutanix@pcvm_ip_address ¶ 2. Register Azure key management server: nutanix@PCVM$ mantle_cli kms azure create --name KMS Name --url Key Vault URI -- key_id Key ID --tenant_id Tenant ID --client_id Client ID --expiry_date Client Secret Expiry Date Replace KMS Name, Key Vault URI, Key ID, Tenant ID, Client ID, and Client Secret Expiry Date with the relevant values for your environment. For more information on Azure Key Vault configuration, see Setting Up an Azure Key Vault for Cloud Key Management Server on page 141. ¶ 3. At the client secret prompt, enter and confirm the client secret. ¶ 4. (Optional) Ensure that changes to KMS configuration propagate fully through the Nutanix environment before ¶ enabling data-at-rest encryption to avoid failures. The KMS configuration can take up to 10 minutes to propagate. You can verify the configuration by running the following command on the Controller VM: nutanix@cvm$ mantle_ops kms_info If the configuration has not yet propagated, the command output displays Information about KMS servers on IDF: with no details listed. When propagation is complete, the output includes KMS details such as the KMS UUID, name, type, and access information under this section. ¶ 5. Log in to Prism Central as an administrator. ¶ 6. From the Application Switcher Function, select the Infrastructure application and from the navigation bar, select Hardware > Clusters. ¶ 7. Select the checkbox associated with the cluster. ¶ 8. Click Actions > Enable Data-at-Rest Encryption. ¶ 9. Choose one of the following encryption types: ¶ » Encrypt the entire cluster » Encrypt storage containers ¶ 10. Click Save Encryption Type. ¶ 11. Select External KMS (Cloud) as the key management server. ¶ 12. Click Enable Encryption. ¶ 13. Type ENCRYPT. Caution: To help ensure that your data is secure, you cannot disable software-only data-at-rest encryption after it is enabled. Nutanix recommends regularly backing up your data, encryption keys, and key management server. ¶ For more information on configuring software data-at-rest encryption, see Configuring Data-at-Rest Encryption (Software Only). ¶ Setting Up an Azure Key Vault for Cloud Key Management Server Azure Key Vault details are required for Cloud key management server (KMS) configuration in the Prism Central VM. About this task To set up an Azure Key Vault in your Azure environment, follow these steps: Procedure ¶ 1. Create an Azure Key Vault. ¶ 2. Generate or import RSA keys. ¶ 3. Configure an App Registration in Azure. ¶ 4. Set up the key vault access policy to allow the App Registration to perform key management, cryptographic, and ¶ rotation policy operations. ¶ 5. Retrieve the following details from your Azure configuration to use in the Cloud KMS configuration. ¶ KMS Name: Name for the Key Management Service. This name does not need to be unique. Client Secret Expiry Date: Expiration date of the client secret. Tenant ID: A unique identifier for your organization in Azure Active Directory. Client ID: A unique identifier for the App Registration that allows Prism Central to connect to the Azure Key ¶ Vault. Key ID: Name of the encryption key in the Azure Key Vault instance used for Cloud KMS. The key must be ¶ of type RSA. Key Vault URI: URI of the Azure Key Vault instance that contains the encryption key. For more information on configuring the Azure Key Vault, see Microsoft Azure documentation. ¶ Updating Cloud KMS Configuration Update the existing Azure Cloud KMS configuration. About this task To update the Azure Cloud KMS configuration, follow these steps: Procedure ¶ 1. SSH into the Prism Central VM (PCVM) as a nutanix user: ¶ $ ssh nutanix@pcvm_ip_address ¶ 2. Update the KMS configuration: nutanix@PCVM$ mantle_cli kms azure update --kms_uuid KMS UUID --name New Key Management Server Name --client_id New Client ID --tenant_id New Tenant ID -- expiry_date New Client Secret Expiry Date Replace KMS UUID, New Key Management Server Name, New Client ID, New Tenant ID, and New Client Secret Expiry Date with the relevant values for your environment. Note: The KMS UUID parameter is mandatory and identifies the KMS instance to update. ¶ 3. At the client secret prompt, enter and confirm the client secret. ¶ 4. Verify the updated configuration: ¶ nutanix@PCVM$ mantle_cli kms azure list ¶ Deleting Cloud KMS Configuration Remove the existing Azure Cloud KMS configuration. About this task To delete the Cloud KMS (Azure) configuration, follow these steps: ¶ Note: You cannot delete the Cloud KMS configuration that is currently being used for software data-at-rest encryption. ¶ Procedure ¶ 1. SSH into the Prism Central VM (PCVM) as a nutanix user: ¶ $ ssh nutanix@pcvm_ip_address ¶ 2. Delete the KMS configuration: nutanix@PCVM$ mantle_cli kms azure delete --kms_uuid KMS UUID Replace KMS UUID with the relevant value for your environment. ¶ 3. Verify the updated configuration: nutanix@PCVM$ mantle_cli kms azure list ¶ Changing the KMS Type Using Prism Central Change the KMS Type from Cloud KMS to another supported KMS Type. About this task Using Prism Central, you can change the KMS Type from Cloud KMS to another supported KMS Type, such as Native KMS (Local). Refer to the Key Management Server (KMS) Considerations on page 136 before proceeding. To change the KMS Type, follow these steps: Procedure ¶ 1. Log on to Prism Central as an administrator. ¶ 2. In the Application Switcher, select Infrastructure. ¶ 3. Go to Hardware > Clusters, and from the List view, select the encrypted cluster. ¶ 4. Click Actions and select Manage KMS Type. ¶ 5. Select the new KMS Type. ¶ 6. Click Change KMS Type. Changing Key Encryption Keys (Software Only) The key encryption key (KEK) can be changed at any time. This can be useful as a periodic password rotation security precaution or when a key management server or node becomes compromised. If the key management server is compromised, only the KEK needs to be changed, because the KEK is independent of the drive encryption key (DEK). There is no need to re-encrypt any data, just to re-encrypt the DEK. About this task To change the KEKs for a cluster, do the following: Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the main menu and then select Data at Rest Encryption in the Settings page. ¶ 3. In the Cluster Encryption page, select Manage Keys and click the Rekey button under Software ¶ Encryption. Note: The Rekey button appears only when cluster protection is active. If the cluster is already protected and a new key management server is added, you must press the Rekey button to use this new key management server for storing secrets. ¶ For Native KMS, a master encryption key (MEK) is used to encrypt the key encryption key (KEK). The system automatically regenerates the MEK yearly. Destroying Data (Software Only) Data on the AOS cluster is always encrypted, and the data encryption key (DEK) used to read the encrypted data is known only to the AOS. All data on the drive can effectively be destroyed (that is, become permanently unreadable) by deleting the container or cluster. This is known as a crypto-erase. ¶ About this task ¶ Note: To help ensure that your data is secure, you cannot disable software-only data-at-rest encryption once it is enabled. Nutanix recommends regularly backing up your data, encryption keys, and key management server. ¶ To crypto-erase the container or cluster, do the following: ¶ Procedure ¶ 1. Delete the storage container or destroy the cluster. ¶ For information on how to delete a storage container, see Modifying a Storage Container in the Prism Element Web Console Guide. ¶ For information on how to destroy a cluster, see Destroying a Cluster in the Acropolis Advanced Administration Guide. ¶ When you delete a storage container, the Curator scans and deletes the DEK and KEK keys automatically. When you destroy a cluster, then: ¶ Native Key Manager (local) destroys the master key shares and the encrypted DEKs/KEKs. Native Key Manager (remote) retains the root key on the Prism Central if the cluster is still registered to a ¶ Prism Central when it is destroyed. You must unregister a cluster from the Prism Central and then destroy the cluster to delete the root key. External Key Manager deletes the encrypted DEKs. However, the KEKs remain on the EKM. You must use an external key manager UI to delete the KEKs. ¶ 2. Delete the key backup files, if any.","",""
"Security Management Using Prism Element > Data-at-Rest Encryption","Switching from SED-EKM to Software-LKM","144","This section describes the steps to switch from SED and External KMS combination to software-only and LKM combination. ¶ About this task To switch from SED-EKM to Software-LKM, do the following. ¶ Procedure ¶ 1. Perform the steps for the software-only encryption with External KMS. For more information, see Configuring Data-at-Rest Encryption (Software Only) on page 130. After the background task completes, all the data gets encrypted by the software. The time taken to complete the task depends on the amount of data and foreground I/O operations in the cluster. ¶ 2. Disable the SED encryption. Ensure that all the disks are unprotected. For more information, see Enabling/Disabling Encryption (SEDs) on page 127. ¶ 3. Switch the key management server from the External KMS to Local Key Manager. For more information, see Switching between Native Key Manager and External Key Manager on page 137.","",""
"Security Management Using Prism Element > Data-at-Rest Encryption","Configuring Dual Encryption","144","About this task Dual Encryption protects the data on the clusters using both SED and software-only encryption. An external key manager is used to store the keys for dual encryption, the Native KMS is not supported. ¶ To configure dual encryption, do the following: Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the main menu and then select Data at Rest Encryption in the Settings page. ¶ 3. In the Cluster Encryption page, check to enable both Drive-based and Software-based encryption. ¶ 4. Click Save Encryption Type. ¶ 5. Continue with the rest of the encryption configuration, see: ¶ Configuring Data-at-Rest Encryption (Software Only) on page 130 Configuring Data-at-Rest Encryption (SEDs) on page 124","",""
"Security Management Using Prism Element > Data-at-Rest Encryption","Backing up Keys","145","About this task You can take a backup of encryption keys: ¶ When you enable Software-only Encryption for the first time After you regenerate the keys Backing up encryption keys is critical in the very unlikely situation in which keys get corrupted. You can download key backup file for a cluster on a Prism Element or all clusters on a Prism Central. To download key backup file for all clusters, see Taking a Consolidated Backup of Keys (Prism Central). To download the key backup file for a cluster, do the following: Procedure ¶ 1. Log in to Prism Element as an administrator. ¶ 2. Click the gear icon in the main menu and then select Data at Rest Encryption in the Settings page. ¶ 3. In the Cluster Encryption page, select Manage Keys. ¶ 4. Enter and confirm the password. ¶ 5. Click the Download Key Backup button. ¶ The backup file is saved in the default download location on your local machine. Ensure you move the backup key file to a safe location. If vTPM is enabled, the downloaded key backup includes vTPM keys, in addition to the encryption keys.","",""
"Security Management Using Prism Element > Data-at-Rest Encryption","Taking a Consolidated Backup of Keys (Prism Central)","145","If you are using the Native KMS option with software encryption for your clusters, you can take a consolidated backup of all the keys from Prism Central. About this task To take a consolidated backup of keys for software encryption-enabled clusters (Native KMS-only), do the following: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. Click the hamburger icon, then select Clusters > List view. ¶ 3. Select a cluster, go to Actions, then select Manage & Backup Keys. ¶ 4. Download the backup keys: ¶ a. In Password, enter your password. b. In Confirm Password, reenter your password. c. To change the encryption key, select the Rekey Encryption Key (KEK) box . d. To download the backup key, click Backup Key. Ensure that you move the backup key file to a safe location. If vTPM is enabled, the downloaded key backup includes vTPM keys, in addition to the encryption keys.","",""
"Security Management Using Prism Element > Data-at-Rest Encryption","Importing Keys","146","You can import the encryption keys from backup. You must note the specific commands in this topic if you backed up your keys to an external key manager (EKM). ¶ About this task ¶ Note: Nutanix recommends that you contact Nutanix Support for this operation. Extended cluster downtime might result if you perform this task incorrectly. ¶ Procedure ¶ 1. SSH into any of the Controller VMs (CVMs) as a nutanix user: $ ssh nutanix@cvm_ip_address ¶ 2. Retrieve the encryption keys stored on the cluster and verify that all the keys you want to retrieve are listed. In this example, the password is Nutanix.123. date is the timestamp portion of the backup file name. nutanix@cvm$ mantle_recovery_util --backup_file_path=/home/nutanix/ encryption_key_backup_date \ -password=Nutanix.123 --list_key_ids=true ¶ 3. Import the keys into the cluster. nutanix@cvm$ mantle_recovery_util --backup_file_path=/home/nutanix/key_backup \ -password=Nutanix.123 --interactive_mode ¶ 4. If you are using an external key manager such as IBM Security Key Lifecycle Manager, Gemalto Safenet, or Vormetric Data Security Manager, use the --store_kek_remotely option to import the keys into the cluster. In this example, date is the timestamp portion of the backup file name. nutanix@cvm$ mantle_recovery_util --backup_file_path path/encryption_key_backup_date \ -password key_password --store_kek_remotely ¶ Tip: The imported key backup includes vTPM keys (if vTPM is enabled during backup), in addition to the encryption keys.","",""
"Security Management Using Prism Element > Data-at-Rest Encryption","Data-at-Rest Encryption with Linux Unified Key Setup","147","Describes how Nutanix uses Linux Unified Key Setup (LUKS) to encrypt configuration data at rest for AOS and AHV environments. Nutanix provides two types of data-at-rest encryption, each addressing a different aspect of data protection. ¶ AOS data-at-rest encryption. For more information, see Data-at-Rest Encryption (Software Only) on page 129. ¶ Linux Unified Key Setup (LUKS)-based data-at-rest encryption. Nutanix uses LUKS to provide data-at-rest encryption for configuration data associated with AOS and AHV. This encryption protects data stored on the underlying operating system. The configuration data includes Nutanix cluster configuration information and VM configuration metadata. It does not include customer workload data stored inside VM disks. AOS data-at-rest encryption protects workload data stored in AOS. LUKS-based encryption is additive and extends encryption coverage to Nutanix configuration data. LUKS does not replace AOS data-at-rest encryption. You can use LUKS encryption in deployments that require protection of configuration data at rest, such as environments subject to compliance standards. Nutanix recommends using AOS data-at-rest encryption for workload data and using LUKS encryption only in strict environments where configuration data must be encrypted. You can enable LUKS during cluster provisioning or while imaging a node by using Nutanix Foundation. For more information, see the Field Installation Guide . ¶ LUKS Encryption Requirements and Considerations Review the following requirements and considerations before enabling LUKS encryption. ¶ LUKS encryption is supported for AHV only. ¶ LUKS encryption is supported only on nodes with physical TPM enabled. ¶ LUKS encryption is supported for the following software versions: ¶ AOS 7.3 or later ¶ AHV 10.3 or later ¶ Foundation 5.9 or later ¶ Enabling LUKS-based encryption increases CPU overhead and can reduce workload throughput. Nutanix has observed approximately 20 to 30 percent additional CPU usage in some environments, depending on workload characteristics and I/O patterns.","",""
"Security Management Using Prism Element","Internationalization (i18n)","147","The following table lists all the supported and unsupported entities in UTF-8 encoding. ¶ Acropolis file server Supported Entities Share path Cluster name Internationalized domain names Storage Container name Storage pool ¶ Supported Entities Unsupported Entities VM name E-mail IDs Snapshot name Hostnames Volume group name Integers Protection domain name Password fields Remote site name Any Hardware related names ( for example, vSwitch, iSCSCI initiator, vLAN name) User management Chart name ¶ Caution: The creation of none of the above entities are supported on Hyper-V because of the DR limitations. ¶ Entities Support (ASCII or non-ASCII) for the Active Directory Server ¶ In the New Directory Configuration, Name field is supported in non-ASCII. ¶ In the New Directory Configuration, Domain field is not supported in non-ASCII. ¶ In Role mapping, Values field is supported in non-ASCII. ¶ User names and group names are supported in non-ASCII.","",""
"Security Management Using Prism Element > Log Forwarding","Documenting the Log Fingerprint","148","Document log fingerprints to support forensic analysis and ensure non-repudiation. ¶ About this task To document the log fingerprint, follow these steps: ¶ Procedure ¶ 1. SSH into any of the Controller VMs (CVMs) as a nutanix user: $ ssh nutanix@cvm_ip_address ¶ 2. Document the fingerprint for each public key assigned to an individual admin: nutanix@cvm$ ssh-keygen -lf /file-path/id_rsa.pub The fingerprint compares to the SSH daemon log entries and forwards to the central log host path /home/log/ secure in the CVM. Note: After completion of the SSH public key inclusion in Prism and verification of connectivity, disable the password authentication for all the CVMs and AHV hosts. For more information, see Configuring Cluster Lockdown in Prism Element on page 117.","",""
"Security Management Using Prism Element","Admin Account Password Retry Lockout","149","For enhanced security, Prism Central and Prism Element locks out the default admin account for a period of 15 minutes after three unsuccessful login attempts. Once the account is locked out, the following message is displayed at the login screen. Account locked due to too many failed attempts You can attempt entering the password after the 15 minutes lockout period, or contact Nutanix Support in case you have forgotten your password. ¶ Note: You cannot modify the default 15 minutes lock out period.","",""
